pairing,distance_nm,theta_deg,energy_per_area_J_m2,torque_per_area_J_m2_rad,anisotropic_energy_J_m2
dwave,20.0,0.0,-1.33605967452409e-07,-6.826185027085839e-13,-3.101709512991714e-13
dwave,20.0,15.0,-1.336057887433029e-07,-1.037841226327645e-12,-1.3146184518969209e-13
dwave,20.0,30.0,-1.3360542404001364e-07,-1.0470699620490447e-12,2.332414440663402e-13
dwave,20.0,45.0,-1.3360524049875283e-07,-0.0,4.1678270487151635e-13
dwave,20.0,60.0,-1.3360542404001364e-07,1.0470699619431656e-12,2.332414440663402e-13
dwave,20.0,75.0,-1.336057887433029e-07,1.037841226327645e-12,-1.3146184518969209e-13
dwave,20.0,90.0,-1.33605967452409e-07,6.826185027085842e-13,-3.101709512991714e-13
dwave,30.0,0.0,-7.556776601976552e-08,-3.128033633971573e-13,-1.4226667000529894e-13
dwave,30.0,15.0,-7.556768412803648e-08,-4.761377013318233e-13,-6.03749409664083e-14
dwave,30.0,30.0,-7.556751671464809e-08,-4.804848289212359e-13,1.0703844742537594e-13
dwave,30.0,45.0,-7.556743254676838e-08,-0.0,1.9120632713236726e-13
dwave,30.0,60.0,-7.556751671464809e-08,4.804848288682963e-13,1.0703844742537594e-13
dwave,30.0,75.0,-7.556768412803647e-08,4.761377013053535e-13,-6.03749409531734e-14
dwave,30.0,90.0,-7.55677660197655e-08,3.1280336339715736e-13,-1.4226666999206405e-13
dwave,50.0,0.0,-3.127048979746121e-08,-8.965346900246745e-14,-4.083759093815832e-14
dwave,50.0,15.0,-3.1270466326237914e-08,-1.3673173225855365e-13,-1.7366367639242325e-14
dwave,50.0,30.0,-3.127041820489362e-08,-1.3801470671309414e-13,3.075497665510368e-14
dwave,50.0,45.0,-3.127039406190646e-08,-0.0,5.489796381150671e-14
dwave,50.0,60.0,-3.127041820489362e-08,1.3801470671309414e-13,3.075497665510368e-14
dwave,50.0,75.0,-3.1270466326237914e-08,1.3673173223208387e-13,-1.7366367639242325e-14
dwave,50.0,90.0,-3.1270489797461206e-08,8.965346897719069e-14,-4.0837590931540875e-14
dwave,80.0,0.0,-1.2494488178974129e-08,-2.2060595316449608e-14,-1.0044656311394621e-14
dwave,80.0,15.0,-1.249448240352378e-08,-3.363658664926402e-14,-4.269205963063331e-15
dwave,80.0,30.0,-1.2494470566898543e-08,-3.3923096834074544e-14,7.567419273844497e-15
dwave,80.0,45.0,-1.2494464641431814e-08,3.308722450212111e-24,1.3492886002881272e-14
dwave,80.0,60.0,-1.2494470566898545e-08,3.392309683076582e-14,7.567419272190135e-15
dwave,80.0,75.0,-1.249448240352378e-08,3.36365866459553e-14,-4.269205963063331e-15
dwave,80.0,90.0,-1.2494488178974129e-08,2.206059531644961e-14,-1.0044656311394621e-14
dwave,100.0,0.0,-7.993342892054225e-09,-1.0852504289643368e-14,-4.930677705188015e-15
dwave,100.0,15.0,-7.993340050875246e-09,-1.650704899194008e-14,-2.0894987260717385e-15
dwave,100.0,30.0,-7.993334248983584e-09,-1.6625450877049647e-14,3.712392935267648e-15
dwave,100.0,45.0,-7.993331345809523e-09,-0.0,6.615566996947295e-15
dwave,100.0,60.0,-7.993334248983584e-09,1.662545088035837e-14,3.712392935267648e-15
dwave,100.0,75.0,-7.993340050875246e-09,1.650704899194008e-14,-2.0894987260717385e-15
dwave,100.0,90.0,-7.993342892054226e-09,1.0852504295962565e-14,-4.930677706842376e-15
dwave,150.0,0.0,-3.5223544805717833e-09,-2.997755251818396e-15,-1.3531362213948406e-15
dwave,150.0,15.0,-3.5223536957612936e-09,-4.525469397902333e-15,-5.683257316970996e-16
dwave,150.0,30.0,-3.522352111041548e-09,-4.5425270656809674e-15,1.0163940140609195e-15
dwave,150.0,45.0,-3.5223513172996842e-09,-0.0,1.8101358776484512e-15
dwave,150.0,60.0,-3.5223521110415482e-09,4.542527067335329e-15,1.0163940136473292e-15
dwave,150.0,75.0,-3.5223536957612944e-09,4.525469395420791e-15,-5.683257325242802e-16
dwave,150.0,90.0,-3.5223544805717833e-09,2.9977552486587993e-15,-1.3531362213948406e-15
dwave,200.0,0.0,-1.920995154330966e-09,-1.2388038683104663e-15,-5.572631765899027e-16
dwave,200.0,15.0,-1.9209948300128716e-09,-1.8625833160861642e-15,-2.3294508226300456e-16
dwave,200.0,30.0,-1.920994179084622e-09,-1.8666874529318655e-15,4.179831672063043e-16
dwave,200.0,45.0,-1.920993852617607e-09,-4.1359030627651384e-25,7.444501824660254e-16
dwave,200.0,60.0,-1.920994179084622e-09,1.866687453759046e-15,4.179831672063043e-16
dwave,200.0,75.0,-1.920994830012872e-09,1.8625833164997545e-15,-2.3294508267659486e-16
dwave,200.0,90.0,-1.9209951543309663e-09,1.2388038683104666e-15,-5.57263177003493e-16
normal,20.0,0.0,-1.3362508667424654e-07,-2.7044781090158308e-12,-1.2336156385537365e-12
normal,20.0,15.0,-1.3362437864353328e-07,-4.12235371219438e-12,-5.255849252971908e-13
normal,20.0,30.0,-1.3362292821489026e-07,-4.190801658986002e-12,9.248437177298503e-13
normal,20.0,45.0,-1.3362218434491585e-07,-5.293955920339377e-23,1.6687136921362748e-12
normal,20.0,60.0,-1.3362292821489026e-07,4.190801658933062e-12,9.248437177298503e-13
normal,20.0,75.0,-1.3362437864353326e-07,4.122353712088501e-12,-5.25584925270721e-13
normal,20.0,90.0,-1.336250866742465e-07,2.704478109015831e-12,-1.2336156385272667e-12
normal,30.0,0.0,-7.557661778229648e-08,-1.217519938200987e-12,-5.55350916288657e-13
normal,30.0,15.0,-7.557629903632203e-08,-1.8550449664966873e-12,-2.366049418343804e-13
normal,30.0,30.0,-7.557564648302334e-08,-1.8881250118122453e-12,4.159483568514521e-13
normal,30.0,45.0,-7.557531041637767e-08,-0.0,7.520150025299357e-13
normal,30.0,60.0,-7.557564648302334e-08,1.888125011838715e-12,4.159483568514521e-13
normal,30.0,75.0,-7.557629903632203e-08,1.8550449665760966e-12,-2.366049418343804e-13
normal,30.0,90.0,-7.557661778229652e-08,1.217519938352648e-12,-5.553509163283617e-13
normal,50.0,0.0,-3.1272927664602106e-08,-3.3292657548749324e-13,-1.523431591284142e-13
normal,50.0,15.0,-3.127284050462846e-08,-5.081262753440216e-13,-6.518318548372116e-14
normal,50.0,30.0,-3.127266161030649e-08,-5.21035599124512e-13,1.1371113648959946e-13
normal,50.0,45.0,-3.127256769102672e-08,-0.0,2.0763041625830666e-13
normal,50.0,60.0,-3.127266161030649e-08,5.21035599124512e-13,1.1371113648959946e-13
normal,50.0,75.0,-3.127284050462846e-08,5.081262753307867e-13,-6.518318548372116e-14
normal,50.0,90.0,-3.1272927664602106e-08,3.329265754874933e-13,-1.523431591284142e-13
normal,80.0,0.0,-1.2494899551793464e-08,-7.256143539261882e-14,-3.3823863726423454e-14
normal,80.0,15.0,-1.24948805552541e-08,-1.1228374496896003e-13,-1.4827324362808314e-14
normal,80.0,30.0,-1.2494840760162078e-08,-1.1878210593084624e-13,2.4967767659740983e-14
normal,80.0,45.0,-1.2494818361088872e-08,-0.0,4.7366840865599015e-14
normal,80.0,60.0,-1.2494840760162078e-08,1.1878210592753752e-13,2.4967767659740983e-14
normal,80.0,75.0,-1.2494880555254099e-08,1.1228374497226875e-13,-1.4827324361153953e-14
normal,80.0,90.0,-1.2494899551793466e-08,7.256143540525723e-14,-3.3823863728077816e-14
normal,100.0,0.0,-7.993434834770789e-09,-3.1779623482344037e-14,-1.518717149399017e-14
normal,100.0,15.0,-7.993426514884817e-09,-5.014689008737124e-14,-6.867285521825029e-15
normal,100.0,30.0,-7.99340857792054e-09,-5.5074311455457236e-14,1.1069678755199332e-14
normal,100.0,45.0,-7.993397678042772e-09,-3.308722450212111e-24,2.19695565228861e-14
normal,100.0,60.0,-7.993408577920538e-09,5.5074311455457236e-14,1.1069678756853693e-14
normal,100.0,75.0,-7.993426514884817e-09,5.014689009067996e-14,-6.867285521825029e-15
normal,100.0,90.0,-7.993434834770789e-09,3.177962348234404e-14,-1.518717149399017e-14
normal,150.0,0.0,-3.5222827619017315e-09,-5.790527875390627e-15,-3.135542583339271e-15
normal,150.0,15.0,-3.5222812459450787e-09,-1.0115157807530396e-14,-1.6195859305280957e-15
normal,150.0,30.0,-3.522277465617489e-09,-1.3003009100269676e-14,2.1607416593457213e-15
normal,150.0,45.0,-3.5222744375854354e-09,8.271806125530277e-25,5.188773712765604e-15
normal,150.0,60.0,-3.5222774656174892e-09,1.3003009099442495e-14,2.160741658932131e-15
normal,150.0,75.0,-3.5222812459450787e-09,1.0115157804221674e-14,-1.6195859305280957e-15
normal,150.0,90.0,-3.522282761901731e-09,5.7905278738108295e-15,-3.1355425829256808e-15
normal,200.0,0.0,-1.92092820708875e-09,-1.2514606696616364e-15,-9.026234739099581e-16
normal,200.0,15.0,-1.9209278794571126e-09,-2.7890346597732627e-15,-5.749918367378282e-16
normal,200.0,30.0,-1.920926746753617e-09,-4.611926633990911e-15,5.57711659028778e-16
normal,200.0,45.0,-1.920925464657974e-09,-1.2407709188295415e-24,1.839807301997246e-15
normal,200.0,60.0,-1.9209267467536165e-09,4.611926634404501e-15,5.577116594423683e-16
normal,200.0,75.0,-1.9209278794571126e-09,2.789034660186853e-15,-5.749918367378282e-16
normal,200.0,90.0,-1.92092820708875e-09,1.2514606696616366e-15,-9.026234739099581e-16
spm,20.0,0.0,-1.3367468770164357e-07,-2.762628383044022e-12,-1.2616985372139887e-12
spm,20.0,15.0,-1.3367396444722417e-07,-4.217840736048993e-12,-5.384441178165097e-13
spm,20.0,30.0,-1.336724792453985e-07,-4.288042900038719e-12,9.467577078607295e-13
spm,20.0,45.0,-1.3367171923321201e-07,5.293955920339377e-23,1.706769894339538e-12
spm,20.0,60.0,-1.3367247924539852e-07,4.288042900038719e-12,9.467577078342597e-13
spm,20.0,75.0,-1.3367396444722417e-07,4.217840735996054e-12,-5.384441178165097e-13
spm,20.0,90.0,-1.3367468770164357e-07,2.7626283830440223e-12,-1.2616985372139887e-12
spm,30.0,0.0,-7.560887820044985e-08,-1.3013428779017547e-12,-5.940328365531335e-13
spm,30.0,15.0,-7.56085375096811e-08,-1.9860945624450166e-12,-2.5334206780167094e-13
spm,30.0,30.0,-7.560783828376874e-08,-2.017430591062617e-12,4.4588384456196876e-13
spm,30.0,45.0,-7.560748118549378e-08,2.6469779601696886e-23,8.02982119519497e-13
spm,30.0,60.0,-7.560783828376876e-08,2.017430591036147e-12,4.45883844535499e-13
spm,30.0,75.0,-7.56085375096811e-08,1.9860945623656073e-12,-2.5334206780167094e-13
spm,30.0,90.0,-7.560887820044985e-08,1.3013428779017549e-12,-5.940328365531335e-13
spm,50.0,0.0,-3.1290419940935644e-08,-3.9377741853838736e-13,-1.8014139275263493e-13
spm,50.0,15.0,-3.129031685024854e-08,-6.024973339656067e-13,-7.705070565015568e-14
spm,50.0,30.0,-3.129010447406928e-08,-6.126522256891645e-13,1.3532547361437817e-13
spm,50.0,45.0,-3.128999606629331e-08,-1.3234889800848443e-23,2.4373324958344234e-13
spm,50.0,60.0,-3.129010447406928e-08,6.126522256759296e-13,1.3532547361437817e-13
spm,50.0,75.0,-3.1290316850248535e-08,6.024973339788416e-13,-7.705070564353824e-14
spm,50.0,90.0,-3.129041994093565e-08,3.93777418588941e-13,-1.8014139275925237e-13
spm,80.0,0.0,-1.250413010386142e-08,-1.016043876437801e-13,-4.712903157131854e-14
spm,80.0,15.0,-1.2504103503894938e-08,-1.5775758484238112e-13,-2.052906508846945e-14
spm,80.0,30.0,-1.2504047502183156e-08,-1.6214698925570695e-13,3.5472646693632636e-14
spm,80.0,45.0,-1.2504018603929899e-08,9.926167350636332e-24,6.437089995050868e-14
spm,80.0,60.0,-1.250404750218316e-08,1.6214698925239823e-13,3.547264668866955e-14
spm,80.0,75.0,-1.2504103503894938e-08,1.5775758482914623e-13,-2.052906508846945e-14
spm,80.0,90.0,-1.2504130103861419e-08,1.0160438763746092e-13,-4.712903156966418e-14
spm,100.0,0.0,-8.000048554621544e-09,-5.0135486050906374e-14,-2.363283947157933e-14
spm,100.0,15.0,-8.00003542918199e-09,-7.916923273465159e-14,-1.0507399916439245e-14
spm,100.0,30.0,-8.000007101708218e-09,-8.240609604628753e-14,1.782007385438036e-14
spm,100.0,45.0,-7.999992281450999e-09,-0.0,3.2640331073893873e-14
spm,100.0,60.0,-8.00000710170822e-09,8.240609604628753e-14,1.7820073852725998e-14
spm,100.0,75.0,-8.00003542918199e-09,7.916923273134286e-14,-1.0507399916439245e-14
spm,100.0,90.0,-8.000048554621544e-09,5.013548605090639e-14,-2.363283947157933e-14
spm,150.0,0.0,-3.5256598110614106e-09,-1.3118947102646356e-14,-6.544298884709057e-15
spm,150.0,15.0,-3.5256563765290906e-09,-2.198052955182201e-14,-3.1097665646668158e-15
spm,150.0,30.0,-3.5256483020830505e-09,-2.3851351632304135e-14,4.964679475464626e-15
spm,150.0,45.0,-3.5256438879905798e-09,1.6543612251060553e-24,9.378771946168132e-15
spm,150.0,60.0,-3.5256483020830513e-09,2.3851351630649774e-14,4.964679474637445e-15
spm,150.0,75.0,-3.5256563765290898e-09,2.1980529549340467e-14,-3.109766563839635e-15
spm,150.0,90.0,-3.5256598110614106e-09,1.3118947105805957e-14,-6.544298884709057e-15
spm,200.0,0.0,-1.9228742930557027e-09,-4.9832703788099656e-15,-2.6515011107313525e-15
spm,200.0,15.0,-1.9228729884385683e-09,-8.931392644043204e-15,-1.3468839763212682e-15
spm,200.0,30.0,-1.92286961658945e-09,-1.0110267847861999e-14,2.024965142013728e-15
spm,200.0,45.0,-1.9228676947147023e-09,-4.1359030627651384e-25,3.9468398896641954e-15
spm,200.0,60.0,-1.92286961658945e-09,1.0110267847861999e-14,2.024965142013728e-15
spm,200.0,75.0,-1.9228729884385683e-09,8.931392642802433e-15,-1.3468839763212682e-15
spm,200.0,90.0,-1.9228742930557023e-09,4.9832703772301675e-15,-2.6515011103177622e-15
